,s_adj,age,sex,unit,geo,2019m09,2019m10,2019m11,2019m12,2020m01,2020m02,2020m03,2020m04,2020m05,2020m06,2020m07,2020m08
0,SA,Y25-74,F,THS_PER,AT,70,71,70,71,71.0,68.0,70.0,77.0,80.0,78.0,74.0,
1,SA,Y25-74,F,THS_PER,BE,94,89,86,85,90.0,93.0,96.0,99.0,98.0,96.0,96.0,
2,SA,Y25-74,F,THS_PER,BG,52,53,53,52,56.0,53.0,53.0,63.0,60.0,58.0,59.0,
3,SA,Y25-74,F,THS_PER,CH,82,76,73,75,82.0,83.0,84.0,81.0,81.0,84.0,,
4,SA,Y25-74,F,THS_PER,CY,13,13,13,12,12.0,11.0,11.0,14.0,14.0,12.0,10.0,
5,SA,Y25-74,F,THS_PER,CZ,50,50,49,48,48.0,48.0,48.0,52.0,56.0,57.0,62.0,
6,SA,Y25-74,F,THS_PER,DE,432,442,457,480,513.0,559.0,614.0,673.0,727.0,769.0,794.0,
7,SA,Y25-74,F,THS_PER,DK,56,57,56,56,54.0,56.0,51.0,54.0,61.0,67.0,65.0,
8,SA,Y25-74,F,THS_PER,EA,4964,4933,4923,4897,4993.0,4900.0,4796.0,4692.0,4798.0,4929.0,5124.0,
9,SA,Y25-74,F,THS_PER,EA18,4928,4898,4888,4862,4960.0,4866.0,4761.0,4651.0,4753.0,4882.0,5076.0,
10,SA,Y25-74,F,THS_PER,EA19,4964,4933,4923,4897,4993.0,4900.0,4796.0,4692.0,4798.0,4929.0,5124.0,
11,SA,Y25-74,F,THS_PER,EE,14,13,13,12,13.0,12.0,13.0,18.0,19.0,18.0,,
12,SA,Y25-74,F,THS_PER,EL,391,382,383,379,374.0,364.0,287.0,349.0,400.0,380.0,,
13,SA,Y25-74,F,THS_PER,ES,1491,1482,1470,1459,1481.0,1451.0,1491.0,1504.0,1478.0,1471.0,1466.0,
14,SA,Y25-74,F,THS_PER,EU27_2007,5952,5950,5937,5894,6018.0,,,,,,,
15,SA,Y25-74,F,THS_PER,EU27_2020,5637,5614,5601,5562,5671.0,5589.0,5462.0,5444.0,5606.0,5771.0,5944.0,
16,SA,Y25-74,F,THS_PER,EU28,5999,5996,5983,5940,6062.0,,,,,,,
17,SA,Y25-74,F,THS_PER,FI,57,58,58,59,60.0,60.0,62.0,63.0,65.0,66.0,67.0,
18,SA,Y25-74,F,THS_PER,FR,952,935,927,922,931.0,884.0,832.0,793.0,663.0,629.0,717.0,
19,SA,Y25-74,F,THS_PER,HR,47,46,46,46,44.0,43.0,48.0,58.0,64.0,63.0,63.0,
20,SA,Y25-74,F,THS_PER,HU,62,63,60,63,63.0,63.0,61.0,67.0,82.0,86.0,,
21,SA,Y25-74,F,THS_PER,IE,35,35,37,38,39.0,39.0,39.0,33.0,32.0,31.0,33.0,33.0
22,SA,Y25-74,F,THS_PER,IS,2,2,2,2,3.0,3.0,2.0,3.0,3.0,3.0,3.0,
23,SA,Y25-74,F,THS_PER,IT,1007,1013,1013,1013,,,,,,,,
24,SA,Y25-74,F,THS_PER,LT,36,34,35,35,33.0,34.0,35.0,42.0,45.0,47.0,48.0,
25,SA,Y25-74,F,THS_PER,LU,6,6,6,6,6.0,6.0,7.0,8.0,8.0,8.0,8.0,
26,SA,Y25-74,F,THS_PER,LV,24,23,23,24,26.0,26.0,27.0,30.0,31.0,32.0,32.0,
27,SA,Y25-74,F,THS_PER,MT,3,3,3,3,3.0,3.0,3.0,4.0,4.0,5.0,4.0,
28,SA,Y25-74,F,THS_PER,NL,100,98,95,90,85.0,85.0,84.0,88.0,93.0,123.0,131.0,
29,SA,Y25-74,F,THS_PER,NO,29,29,30,30,28.0,28.0,29.0,35.0,38.0,41.0,,
30,SA,Y25-74,F,THS_PER,PL,207,201,196,196,188.0,184.0,180.0,190.0,201.0,206.0,205.0,
31,SA,Y25-74,F,THS_PER,PT,149,146,151,146,145.0,138.0,132.0,139.0,110.0,144.0,163.0,
32,SA,Y25-74,F,THS_PER,RO,88,85,84,84,96.0,94.0,97.0,137.0,131.0,150.0,131.0,
33,SA,Y25-74,F,THS_PER,SE,110,125,135,120,129.0,148.0,127.0,131.0,153.0,153.0,150.0,
34,SA,Y25-74,F,THS_PER,SI,20,20,20,19,20.0,19.0,19.0,22.0,22.0,23.0,22.0,
35,SA,Y25-74,F,THS_PER,SK,61,60,60,59,66.0,68.0,67.0,73.0,73.0,73.0,74.0,
36,SA,Y25-74,F,THS_PER,UK,362,382,381,378,391.0,382.0,363.0,360.0,351.0,,,
37,SA,Y25-74,F,THS_PER,US,1941,2038,1992,1981,1926.0,1891.0,2356.0,9122.0,8293.0,6701.0,6294.0,
38,SA,Y25-74,M,THS_PER,AT,88,82,78,75,78.0,81.0,83.0,79.0,114.0,115.0,113.0,
39,SA,Y25-74,M,THS_PER,BE,116,117,118,120,116.0,115.0,118.0,126.0,128.0,129.0,127.0,
40,SA,Y25-74,M,THS_PER,BG,70,73,75,75,75.0,70.0,67.0,78.0,76.0,74.0,74.0,
41,SA,Y25-74,M,THS_PER,CH,80,77,76,78,82.0,82.0,86.0,94.0,100.0,102.0,,
42,SA,Y25-74,M,THS_PER,CY,10,11,11,10,12.0,12.0,13.0,15.0,15.0,14.0,14.0,
43,SA,Y25-74,M,THS_PER,CZ,49,44,51,44,46.0,42.0,47.0,49.0,53.0,64.0,58.0,
44,SA,Y25-74,M,THS_PER,DE,666,685,704,724,748.0,777.0,810.0,843.0,870.0,888.0,896.0,
45,SA,Y25-74,M,THS_PER,DK,57,54,53,50,52.0,50.0,50.0,48.0,52.0,59.0,63.0,
46,SA,Y25-74,M,THS_PER,EA,5033,4985,4982,5010,4951.0,4853.0,4872.0,5001.0,5076.0,5212.0,5332.0,
47,SA,Y25-74,M,THS_PER,EA18,4986,4941,4937,4966,4911.0,4811.0,4829.0,4947.0,5017.0,5152.0,5270.0,
48,SA,Y25-74,M,THS_PER,EA19,5033,4985,4982,5010,4951.0,4853.0,4872.0,5001.0,5076.0,5212.0,5332.0,
49,SA,Y25-74,M,THS_PER,EE,11,12,12,14,16.0,16.0,16.0,18.0,20.0,25.0,,
50,SA,Y25-74,M,THS_PER,EL,323,320,319,314,308.0,297.0,294.0,297.0,300.0,376.0,,
51,SA,Y25-74,M,THS_PER,ES,1252,1260,1256,1253,1236.0,1194.0,1318.0,1406.0,1398.0,1410.0,1407.0,
52,SA,Y25-74,M,THS_PER,EU27_2007,6209,6111,6129,6160,6140.0,,,,,,,
53,SA,Y25-74,M,THS_PER,EU27_2020,5819,5740,5769,5778,5730.0,5641.0,5716.0,5914.0,6040.0,6209.0,6334.0,
54,SA,Y25-74,M,THS_PER,EU28,6253,6156,6174,6204,6186.0,,,,,,,
55,SA,Y25-74,M,THS_PER,FI,73,73,71,69,68.0,68.0,69.0,73.0,76.0,80.0,82.0,
56,SA,Y25-74,M,THS_PER,FR,980,955,939,932,910.0,860.0,846.0,892.0,776.0,726.0,770.0,
57,SA,Y25-74,M,THS_PER,HR,44,45,45,45,46.0,45.0,48.0,56.0,60.0,59.0,58.0,
58,SA,Y25-74,M,THS_PER,HU,62,61,60,61,63.0,65.0,71.0,82.0,91.0,95.0,,
59,SA,Y25-74,M,THS_PER,IE,47,47,46,46,46.0,46.0,47.0,46.0,47.0,47.0,47.0,47.0
60,SA,Y25-74,M,THS_PER,IS,2,2,2,2,2.0,2.0,2.0,2.0,3.0,3.0,4.0,
61,SA,Y25-74,M,THS_PER,IT,1051,1023,1023,1023,,,,,,,,
62,SA,Y25-74,M,THS_PER,LT,47,44,45,44,40.0,42.0,44.0,53.0,58.0,59.0,61.0,
63,SA,Y25-74,M,THS_PER,LU,7,7,7,7,7.0,7.0,9.0,10.0,10.0,9.0,9.0,
64,SA,Y25-74,M,THS_PER,LV,28,27,28,31,34.0,34.0,35.0,39.0,42.0,44.0,45.0,
65,SA,Y25-74,M,THS_PER,MT,3,3,4,4,4.0,4.0,4.0,5.0,4.0,4.0,4.0,
66,SA,Y25-74,M,THS_PER,NL,116,117,119,110,102.0,95.0,95.0,107.0,106.0,125.0,129.0,
67,SA,Y25-74,M,THS_PER,NO,43,42,43,42,39.0,35.0,35.0,43.0,49.0,60.0,,
68,SA,Y25-74,M,THS_PER,PL,198,199,199,200,209.0,211.0,213.0,231.0,243.0,244.0,237.0,
69,SA,Y25-74,M,THS_PER,PT,121,124,126,132,134.0,125.0,119.0,110.0,113.0,139.0,162.0,
70,SA,Y25-74,M,THS_PER,RO,173,158,164,168,144.0,159.0,218.0,216.0,232.0,222.0,233.0,
71,SA,Y25-74,M,THS_PER,SE,133,121,140,125,142.0,145.0,130.0,154.0,159.0,181.0,185.0,
72,SA,Y25-74,M,THS_PER,SI,22,19,16,15,17.0,17.0,18.0,20.0,19.0,19.0,18.0,
73,SA,Y25-74,M,THS_PER,SK,68,67,67,67,71.0,70.0,66.0,73.0,76.0,78.0,80.0,
74,SA,Y25-74,M,THS_PER,UK,434,416,405,426,456.0,450.0,440.0,425.0,419.0,,,
75,SA,Y25-74,M,THS_PER,US,2132,2118,2134,2064,2227.0,2278.0,2651.0,8886.0,7814.0,6990.0,6442.0,
76,SA,Y25-74,T,THS_PER,AT,157,153,148,146,149.0,149.0,153.0,157.0,194.0,193.0,186.0,
77,SA,Y25-74,T,THS_PER,BE,210,206,204,205,206.0,208.0,215.0,225.0,225.0,225.0,223.0,
78,SA,Y25-74,T,THS_PER,BG,122,127,128,127,131.0,123.0,120.0,141.0,136.0,132.0,132.0,
79,SA,Y25-74,T,THS_PER,CH,162,153,149,153,163.0,165.0,170.0,175.0,182.0,186.0,,
80,SA,Y25-74,T,THS_PER,CY,24,24,24,23,24.0,23.0,24.0,29.0,29.0,26.0,24.0,
81,SA,Y25-74,T,THS_PER,CZ,99,95,99,93,94.0,91.0,95.0,100.0,108.0,121.0,120.0,
82,SA,Y25-74,T,THS_PER,DE,1098,1127,1161,1204,1261.0,1336.0,1425.0,1516.0,1597.0,1657.0,1690.0,
83,SA,Y25-74,T,THS_PER,DK,114,111,109,106,106.0,106.0,101.0,101.0,113.0,126.0,127.0,
84,SA,Y25-74,T,THS_PER,EA,9997,9918,9905,9907,9945.0,9753.0,9669.0,9693.0,9874.0,10140.0,10455.0,
85,SA,Y25-74,T,THS_PER,EA18,9914,9839,9825,9828,9871.0,9677.0,9590.0,9598.0,9771.0,10034.0,10346.0,
86,SA,Y25-74,T,THS_PER,EA19,9997,9918,9905,9907,9945.0,9753.0,9669.0,9693.0,9874.0,10140.0,10455.0,
87,SA,Y25-74,T,THS_PER,EE,25,25,25,26,29.0,28.0,29.0,35.0,39.0,43.0,,
88,SA,Y25-74,T,THS_PER,EL,714,702,703,693,682.0,661.0,580.0,646.0,700.0,757.0,,
89,SA,Y25-74,T,THS_PER,ES,2743,2742,2726,2713,2718.0,2645.0,2809.0,2910.0,2876.0,2882.0,2872.0,
90,SA,Y25-74,T,THS_PER,EU27_2007,12161,12061,12065,12054,12158.0,,,,,,,
91,SA,Y25-74,T,THS_PER,EU27_2020,11456,11353,11370,11340,11401.0,11230.0,11178.0,11358.0,11647.0,11980.0,12278.0,
92,SA,Y25-74,T,THS_PER,EU28,12252,12152,12156,12145,12248.0,,,,,,,
93,SA,Y25-74,T,THS_PER,FI,131,130,130,128,128.0,128.0,131.0,136.0,141.0,146.0,149.0,
94,SA,Y25-74,T,THS_PER,FR,1932,1890,1866,1854,1841.0,1744.0,1677.0,1685.0,1439.0,1355.0,1487.0,
95,SA,Y25-74,T,THS_PER,HR,91,91,91,90,90.0,89.0,96.0,114.0,124.0,122.0,121.0,
96,SA,Y25-74,T,THS_PER,HU,124,124,119,124,126.0,129.0,132.0,149.0,173.0,181.0,,
97,SA,Y25-74,T,THS_PER,IE,83,82,83,84,85.0,85.0,86.0,79.0,78.0,78.0,79.0,80.0
98,SA,Y25-74,T,THS_PER,IS,4,4,4,4,5.0,5.0,5.0,5.0,6.0,6.0,7.0,
99,SA,Y25-74,T,THS_PER,IT,2058,2036,2036,2036,,,,,,,,
100,SA,Y25-74,T,THS_PER,LT,83,79,80,79,74.0,76.0,79.0,95.0,103.0,106.0,109.0,
101,SA,Y25-74,T,THS_PER,LU,13,13,13,13,13.0,14.0,15.0,17.0,18.0,17.0,17.0,
102,SA,Y25-74,T,THS_PER,LV,52,50,50,56,60.0,60.0,62.0,70.0,73.0,76.0,77.0,
103,SA,Y25-74,T,THS_PER,MT,7,7,7,7,7.0,6.0,8.0,9.0,9.0,9.0,9.0,
104,SA,Y25-74,T,THS_PER,NL,216,214,214,200,187.0,180.0,179.0,195.0,198.0,248.0,261.0,
105,SA,Y25-74,T,THS_PER,NO,72,71,73,72,67.0,63.0,64.0,78.0,87.0,101.0,,
106,SA,Y25-74,T,THS_PER,PL,405,400,395,396,397.0,395.0,394.0,421.0,444.0,450.0,442.0,
107,SA,Y25-74,T,THS_PER,PT,269,270,277,278,279.0,263.0,251.0,249.0,223.0,283.0,325.0,
108,SA,Y25-74,T,THS_PER,RO,261,243,248,252,240.0,253.0,315.0,353.0,363.0,373.0,363.0,
109,SA,Y25-74,T,THS_PER,SE,243,245,275,245,272.0,292.0,257.0,284.0,311.0,334.0,336.0,
110,SA,Y25-74,T,THS_PER,SI,42,39,36,34,36.0,36.0,37.0,41.0,41.0,41.0,40.0,
111,SA,Y25-74,T,THS_PER,SK,129,127,127,126,137.0,138.0,133.0,146.0,150.0,151.0,154.0,
112,SA,Y25-74,T,THS_PER,TR,3192,3144,3082,3035,2901.0,2838.0,2806.0,2901.0,3019.0,,,
113,SA,Y25-74,T,THS_PER,UK,796,798,786,804,847.0,833.0,803.0,785.0,770.0,,,
114,SA,Y25-74,T,THS_PER,US,4073,4156,4126,4045,4153.0,4169.0,5007.0,18008.0,16107.0,13691.0,12736.0,
