,AT,BE,BG,CH,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,FX,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
2008,4.1,7.0,5.6,,3.7,4.4,7.5,3.7,7.5,5.5,7.8,11.3,7.2,7.0,6.4,7.4,7.1,8.6,7.8,6.8,2.9,6.7,5.8,5.1,7.7,,33.8,6.0,3.7,2.5,7.1,7.7,5.8,,6.2,4.4,9.5,9.8,5.6
2009,5.3,7.9,6.8,,5.4,6.7,7.8,6.4,9.6,13.5,9.6,17.9,9.1,8.9,8.2,9.1,8.7,9.2,10.0,12.6,7.2,7.8,13.8,5.1,17.5,,32.2,6.9,4.4,3.1,8.2,9.6,6.9,,8.4,5.9,12.0,12.6,7.6
2010,4.8,8.3,10.3,4.8,6.3,7.3,7.0,7.7,10.1,16.7,12.7,19.9,9.8,9.6,8.4,9.3,8.9,11.7,11.2,14.6,7.6,8.4,17.8,4.4,19.5,,32.0,6.9,5.0,3.5,9.7,11.0,7.0,,8.6,7.3,14.4,10.7,7.8
2011,4.6,7.2,11.3,4.4,7.9,6.7,5.8,7.8,10.2,12.3,17.9,21.4,9.9,9.6,7.8,9.2,8.8,13.7,11.0,15.4,7.0,8.4,15.4,4.9,16.2,19.7,31.4,6.4,5.0,3.2,9.7,12.9,7.2,,7.8,8.2,13.6,8.8,8.1
2012,4.9,7.6,12.3,4.5,11.9,7.0,5.4,7.8,11.3,10.0,24.5,24.8,10.8,10.5,7.7,9.8,9.4,16.0,11.0,15.5,6.0,10.7,13.4,5.1,15.0,20.0,31.0,6.2,5.8,3.1,10.1,15.8,6.8,,8.0,8.9,14.0,8.2,7.9
2013,5.4,8.4,13.0,4.8,15.9,7.0,5.2,7.4,12.0,8.6,27.5,26.1,11.4,10.8,8.2,10.3,9.9,17.3,10.2,13.8,5.4,12.2,11.8,5.9,11.9,19.5,29.0,6.1,7.3,3.4,10.3,16.4,7.1,,8.1,10.1,14.2,8.8,7.5
2014,5.6,8.5,11.4,4.9,16.1,6.1,5.0,6.9,11.6,7.4,26.5,24.5,10.8,10.2,8.7,10.3,9.9,17.3,7.7,11.9,4.9,12.7,10.7,5.9,10.8,18.0,28.0,5.7,7.4,3.5,9.0,14.1,6.8,19.4,8.0,9.7,13.2,9.9,6.1
2015,5.7,8.5,9.2,4.8,15.0,5.1,4.6,6.3,10.8,6.2,24.9,22.1,10.0,9.4,9.4,10.4,10.1,16.2,6.8,10.0,4.0,11.9,9.1,6.7,9.9,17.6,26.1,5.4,6.9,4.3,7.5,12.6,6.8,17.8,7.4,9.0,11.5,10.3,5.3
2016,6.0,7.8,7.6,5.0,13.0,4.0,4.1,6.0,10.0,6.8,23.6,19.6,9.1,8.5,8.8,10.0,9.8,13.1,5.1,8.4,3.0,11.7,7.9,6.3,9.6,17.8,23.7,4.7,6.0,4.7,6.2,11.2,5.9,15.4,7.0,8.0,9.7,10.9,4.8
2017,5.5,7.1,6.2,4.8,11.1,2.9,3.8,5.8,9.0,5.8,21.5,17.2,8.1,7.6,8.6,9.4,9.1,11.2,4.2,6.7,2.7,11.2,7.1,5.5,8.7,16.1,22.4,4.0,4.9,4.2,4.9,9.0,4.9,13.6,6.7,6.6,8.1,10.9,4.3
2018,4.9,6.0,5.2,4.7,8.4,2.2,3.4,5.1,8.1,5.4,19.3,15.3,7.2,6.8,7.4,9.0,8.7,8.5,3.7,5.8,2.7,10.6,6.2,5.6,7.4,15.2,20.8,3.7,3.8,3.8,3.9,7.1,4.2,12.8,6.4,5.1,6.5,10.9,4.0
2019,4.5,5.4,4.2,4.4,7.1,2.0,3.2,5.0,7.5,4.4,17.3,14.1,6.7,6.3,6.7,8.5,8.2,6.6,3.4,5.0,3.5,10.0,6.3,5.6,6.3,15.2,17.3,3.4,3.4,3.7,3.3,6.5,3.9,10.5,6.8,4.5,5.8,13.7,3.8
